食物名称	热量（千卡）	钙（毫克）	核黄素（毫克）	脂肪（克）	铁（毫克）	维生素C（毫克）	膳食纤维（克）	锌（毫克）	胆固醇（毫克）	胡萝卜素（微克）	磷（毫克）	钠（毫克）	硫胺素（毫克）	蛋白质（克）	镁（毫克）	烟酸（毫克）	碳水化合物（克）	锰（毫克）	维生素E（毫克）	维生素A（微克）	铜（毫克）	钾（毫克）	视黄醇当量（微克）	硒（微克）
烧饼	293	51	0.01	2.1	1.6	0	2.1	0.36	0	1.3	105	62.5	0	8	26	1.1	60.6	0	0.39	0	0.15	122	25.9	12.16
粳米	343	11	0.08	0.6	1.1	0	0.6	1.45	0	0.6	121	2.4	0.16	7.7	34	1.3	76.8	1.36	1.01	0	0.19	97	13.7	2.5
籼米	346	7	0.06	0.7	1.3	0	0.6	1.46	0	0.7	146	2.7	0.15	7.7	33	2.1	77.3	1	0.43	0	0.23	89	13	3.8
晚籼	345	9	0.05	0.7	1.2	0	0.5	1.52	0	0.6	140	1.5	0.17	7.9	53	1.7	76.8	1.11	0.22	0	0.16	112	13.5	2.83
籼稻谷	344	0	0.03	2	5.5	0	2	3.29	0	1.2	0	22	0.15	7	0	5.1	74.4	3.2	0.19	0	0.35	220	13.4	3.12
优糯米	344	8	0.03	1	0.8	0	0.6	1.2	0	0.5	48	1.2	0.1	9	50	1.9	74.7	0.86	0.93	0	0.25	136	14.2	2.8
早糯谷	354	19	0.04	3.2	3	0	2.8	4.92	0	1.4	297	4.1	0.19	7.1	149	0.7	74.2	0	0.13	7	0.53	0	11.3	1.98
紫红糯米	343	13	0.12	1.7	3.9	0	1.4	2.16	0	1.1	183	4	0.31	8.3	16	4.2	73.7	2.37	1.36	0	0.29	219	13.8	2.88
薯类淀粉
马铃薯	76	8	0.04	0.2	0.8	27	0.7	0.37	0	0.8	40	2.7	0.08	2	23	1.1	16.5	0.14	0.34	5	0.12	342	79.8	0.78
马铃薯粉	337	171	0.06	0.5	10.7	0	1.4	1.22	0	2.9	123	4.7	0.08	7.2	27	5.1	76	0.37	0.28	20	1.06	1075	12	1.58
甘薯	104	24	0.04	0.2	0.8	24	1	0.22	0	0.6	46	58.2	0.07	1.4	17	0.6	24.2	0.21	0.43	37	0.16	174	72.6	0.63
甘薯片	340	112	0.11	0.8	3.7	9	2	0.35	0	1.9	115	26.4	0.15	4.7	102	1.1	78.5	1.14	0.38	25	0.5	353	12.1	2.64
甘薯粉	336	33	0.05	0.2	10	0	0.1	0.29	0	1.7	12	26.4	0.03	2.7	102	0.2	80.8	0.33	0	3	0.05	66	14.5	2.62
木薯	116	88	0.09	0.3	2.5	35	1.6	0	0	0.8	50	8	0.21	2.1	66	1.2	26.2	0	0	0	0	764	69	0
蚕豆淀粉	341	36	0	0	2.3	0	0.5	0.05	0	0.1	29	18.2	0.04	0.5	8	0	84.8	0.07	0	0	0.04	10	14.1	0.54
豌豆淀粉	341	4	0	0	1.7	0	0.3	0.22	0	0.8	10	3.4	0.01	0.6	4	0.1	84.7	0.29	0	0	0.03	93	13.6	0
玉米淀粉	345	18	0.04	0.1	4	0	0.1	0.09	0	0.2	25	6.3	0.03	1.2	6	1.1	84.9	0.05	0	0	0.07	8	13.5	0.7
团粉	346	34	0	0	3.6	0	0.8	0.18	0	0.1	25	13.3	0.01	1.5	14	0.2	85	0.08	0	0	0.06	16	12.6	0.37
藕粉	372	8	0.01	0	17.9	0	0.1	0.15	0	0.4	9	10.8	0	0.2	2	0.4	92.9	0.28	0	0	0.22	35	6.4	2.1
桂花藕粉	344	36	0.01	0.1	20.8	0	0	0.23	0	0.6	13	6.5	0	0.4	5	0.2	85.3	0.34	0	0	0.05	14	13.6	0.39
魔芋精粉	37	45	0.1	0.1	1.6	0	74.4	2.05	0	4.3	272	49.9	0	4.6	66	0.4	4.4	0.88	0	0	0.17	299	12.2	350.15
粉丝	335	31	0.02	0.2	6.4	0	1.1	0.27	0	0.3	16	9.3	0.03	0.8	11	0.4	82.6	0.15	0	0	0.05	18	15	3.39
