食物名称	热量（千卡）	钙（毫克）	核黄素（毫克）	脂肪（克）	铁（毫克）	维生素C（毫克）	膳食纤维（克）	锌（毫克）	胆固醇（毫克）	胡萝卜素（微克）	磷（毫克）	钠（毫克）	硫胺素（毫克）	蛋白质（克）	镁（毫克）	烟酸（毫克）	碳水化合物（克）	锰（毫克）	维生素E（毫克）	维生素A（微克）	铜（毫克）	钾（毫克）	视黄醇当量（微克）	硒（微克）
韭菜	26	42	0.09	0.4	1.6	24	1.4	0.43	0	0.8	38	8.1	0.02	2.4	25	0.8	3.2	0.43	0.96	235	0.08	247	91.8	1.38
韭黄	22	25	0.05	0.2	1.7	15	1.2	0.33	0	0.4	48	6.9	0.03	2.3	12	0.7	2.7	0.17	0.34	43	0.1	192	93.2	0.76
韭苔	33	11	0.07	0.1	4.2	1	1.9	1.34	0	0.5	29	1	0.04	2.2	22	0.2	5.9	0.18	0.96	80	0.05	121	89.4	2.28
薤	0	160	0	0	3.6	27	0.3	0.58	0	0	58	0	0	0	39	0	0	0.34	0.11	560	0.28	120	81.4	0
薤白	122	100	0.14	0.4	4.6	36	0.9	0	0	1.1	53	0	0.08	3.4	0	1	26.2	0	0	15	0	0	68	0
大白菜	17	50	0.05	0.1	0.7	31	0.8	0.38	0	0.6	31	57.5	0.04	1.5	11	0.6	2.4	0.15	0.76	20	0.05	0	94.6	0.49
酸白菜	14	48	0.02	0.2	1.6	2	0.5	0.36	0	1.1	38	43.1	0.02	1.1	21	0.6	1.9	0.07	0.86	5	0.04	104	95.2	1.27
小白菜	15	90	0.09	0.3	1.9	28	1.1	0.51	0	1	36	73.5	0.02	1.5	18	0.7	1.6	0.27	0.7	280	0.08	178	94.5	1.17	
白菜薹	25	96	0.08	0.5	2.8	44	1.7	0.87	0	1.4	54	26	0.05	2.8	19	1.2	2.3	0.41	0.52	160	0.18	236	91.3	6.68
红菜薹	41	26	0.04	2.5	2.5	57	0.9	0.9	0	0.8	60	1.5	0.05	2.9	15	0.9	1.8	0	0.51	13	0.12	221	91.1	8.43	
瓢儿白	15	59	0.03	0.2	1.8	10	1.6	0.54	0	0.8	3.6	56.9	0	1.7	91	0.5	1.6	0.19	0	200	0.06	245	94.1	3.4
油菜	23	108	0.11	0.5	1.2	36	1.1	0.33	0	1	39	55.8	0.04	1.8	22	0.7	2.7	0.23	0.88	103	0.06	210	92.9	0.79	
菜花	24	23	0.08	0.2	1.1	61	1.2	0.38	0	0.7	47	31.6	0.03	2.1	18	0.6	3.4	0.17	0.43	5	0.05	200	92.4	0.73
西兰花	33	67	0.13	0.6	1	51	1.6	0.78	0	0.7	72	18.8	0.09	4.1	17	0.9	2.7	0.24	0.91	1202	0.03	17	90.3	0.7
菠菜	24	66	0.11	0.3	2.9	31	1.7	0.85	0	1.4	47	85.2	0.04	2.6	58	0.6	2.8	0.66	1.74	4.87	0.1	311	91.2	0.97
观达菜	14	70	0.1	0.3	1	23	1	1.35	0	0.8	41	260	0.01	1.7	20	0.4	1.1	0.5	0	63	0.04	222	95.1	0.64
芹菜	14	48	0.08	0.1	0.8	12	1.4	0.46	0	1	50	73.8	0.01	0.8	10	0.4	2.5	0.17	2.21	10	0.09	154	94.2	0.47
香菜	31	101	0.14	0.4	2.9	48	1.2	0.45	0	1.1	49	48.5	0.04	1.8	33	2.2	5	0.28	0.8	193	0.21	272	90.5	0.53
苋菜	25	187	0.12	0.3	5.4	47	2.2	0.8	0	1.7	59	32.4	0.03	2.8	119	0.8	2.8	0.78	0.36	352	0.13	207	90.2	0.52
茼蒿	21	73	0.09	0.3	2.5	18	1.2	0.35	0	0.9	36	161.3	0.04	1.9	20	0.6	2.7	0.28	0.92	252	0.06	220	93	0.6
茴香	24	154	0.09	0.4	1.2	26	1.6	0.73	0	1.7	23	186.3	0.06	2.5	46	0.8	2.6	0.31	0.94	402	0.04	149	91.2	0.77
荠菜	27	294	0.15	0.4	5.4	43	1.7	0.68	0	1.4	81	31.6	0.04	2.9	37	0.6	3	0.65	1.01	432	0.29	280	90.6	0.51
莴笋	14	23	0.02	0.1	0.9	4	0.6	0.33	0	0.6	48	36.5	0.02	1	19	0.5	2.2	0.19	0.19	25	0.07	212	95.5	0.54
竹笋	19	9	0.08	0.2	0.5	5	1.8	0.33	0	0.8	34	0.4	0.08	2.8	1	0.6	1.8	1.14	0.05	0	0.09	389	92.8	0.04
百合	162	11	0.04	0.1	1	18	1.7	0.5	0	1.2	61	6.7	0.02	3.2	43	0.7	37.1	0.35	0	0	0.24	510	56.7	0.2
金针菜	199	301	0.21	1.4	8.1	10	7.7	3.99	0	4	216	59.2	0.05	19.4	85	3.1	27.2	1.21	4.92	0.7	0.37	610	40.3	4.22
菊苣	17	52	0.08	0.2	0.8	7	0.9	0.79	0	1.4	28	22	0.08	1.3	15	0.4	3.4	0.42	0	205	0.1	314	93.8	0
芋头	79	36	0.05	0.2	1	6	1	0.49	0	0.9	55	33.1	0.06	2.2	23	0.7	17.1	0.3	0.45	27	0.37	378	78.6	1.45
姜	41	27	0.03	0.6	1.4	4	2.7	0.34	0	0.8	25	14.9	0.02	1.3	44	0.8	7.6	3.2	0	28	0.14	295	87	0.56
白花菜	0	26	0	0	0.6	12	0	0.18	0	0	6	215.7	0	0	33	0	0	6	0	0	0.05	152	93.7	0
枸杞菜	44	36	0.32	1.1	2.4	58	1.6	0.21	0	1	32	29.8	0.08	5.6	74	1.3	2.9	0.37	2.99	592	0.21	170	87.8	0.35
蕨菜	39	17	0	0.4	4.2	23	1.8	0.6	0	0.4	50	0	0	1.6	30	0	7.2	0.32	0.78	183	0.16	292	88.6	0
水果类
苹果	52	4	0.02	0.2	0.6	4	1.2	0.19	0	0.2	12	1.6	0.06	0.2	4	0.2	12.3	0.03	2.12	3	0.06	119	85.9	0.12
梨	44	9	0.06	0.2	0.5	6	3.1	0.46	0	0.3	14	2.1	0.03	0.4	8	0.3	10.2	0.07	1.34	6	0.62	92	85.8	1.14
杏	36	14	0.03	0.1	0.6	4	1.3	0.2	0	0.5	15	2.3	0.02	0.9	11	0.6	7.8	0.06	0.95	75	0.11	226	89.4	0.2
梅	33	11	0	0.9	1.8	0	1	0	0	0.9	36	0	0	0.9	0	0	5.2	0	0	0	0	0	91.1	0
枣	122	22	0.09	0.3	1.2	243	1.9	1.52	0	0.7	23	1.2	0.06	1.1	25	0.9	28.6	0.32	0.78	40	0.06	375	67.4	0.8
蜜枣	321	59	0.1	0.2	3.5	55	5.8	0.25	0	0.7	22	25.1	0.01	1.3	19	0.4	78.6	0.2	0	0	0.07	284	13.4	1
樱桃	46	11	0.02	0.2	0.4	10	0.3	0.23	0	0.5	27	8	0.02	1.1	12	0.6	9.9	0.07	2.22	35	0.1	232	88	0.21
葡萄	43	5	0.02	0.2	0.4	25	0.4	0.18	0	0.3	13	1.3	0.04	0.5	8	0.2	9.9	0.06	0.7	8	0.09	104	88.7	0.2
石榴	63	9	0.03	0.2	0.3	9	4.8	0.19	0	0.6	71	0.9	0.05	1.4	16	0	13.9	0.17	4.91	0	0.14	231	79.1	0
柿	71	9	0.02	0.1	0.2	30	1.4	0.08	0	0.4	23	0.8	0.02	0.4	19	0.3	17.1	0.5	1.12	20	0.06	151	80.6	0.24
桑葚	49	37	0.06	0.4	0.4	0	4.1	0.26	0	1.3	33	2	0.02	1.7	0	0	9.7	0.28	9.87	5	0.07	32	82.8	5.65
醋栗	44	25	0.03	0.6	0.3	28	1.9	0.12	0	0.5	27	1	0.04	0.9	10	0.3	10.2	0.14	0	0	0.07	198	87.9	0
沙棘	119	104	0.21	1.8	8.8	204	0.8	1.16	0	0.8	54	28	0.05	0.9	33	0.4	24.7	0.66	0.01	640	0.56	359	71	2.8
无花果	59	67	0.02	0.1	0.1	2	3	1.42	0	1.1	18	5.5	0.03	1.5	17	0.1	13	0.17	1.82	5	0.01	212	81.3	0.67
猕猴桃	56	27	0.02	0.6	1.2	62	2.6	0.57	0	0.7	26	10	0.05	0.8	12	0.3	11.9	0.73	2.43	22	1.87	144	83.4	0.28
草莓	30	18	0.03	0.2	1.8	47	1.1	0.14	0	0.4	27	4.2	0.02	1	12	0.3	6	0.49	0.71	5	0.04	131	91.3	0.7
橙	47	20	0.04	0.2	0.4	33	0.6	0.14	0	0.5	22	1.2	0.05	0.8	14	0.3	10.5	0.05	0.56	27	0.03	159	87.4	0.31
柑桔	51	35	0.04	0.2	0.2	28	0.4	0.08	0	0.3	18	1.4	0.08	0.7	11	0.4	11.5	0.14	0.92	148	0.04	154	86.9	0.3
柚	41	4	0.03	0.2	0.3	23	0.4	0.4	0	0.5	24	3	0	0.8	4	0.3	9.1	0.08	0	2	0.18	119	89	0.7
柠檬	35	101	0.02	1.2	0.8	22	1.3	0.65	0	0.5	22	1.1	0.05	1.1	37	0.6	4.9	0.05	1.14	0	0.14	209	91	0.5
芭蕉	109	6	0.02	0.1	0.3	0	3.1	0.16	0	0.9	18	1.3	0.02	1.2	29	0.6	25.8	0.78	0	0	0.1	330	68.9	0.81	
菠萝	41	12	0.02	0.1	0.6	18	1.3	0.14	0	0.2	9	0.8	0.04	0.5	8	0.2	9.5	1.04	0	3	0.07	113	88.4	0.24
桂圆	71	6	0.14	0.1	0.2	43	0.4	0.4	0	0.7	30	3.9	0.01	1.2	10	1.3	16.2	0.07	0	3	0.1	248	81.4	0.83
荔枝	70	2	0.04	0.2	0.4	41	0.5	0.17	0	0.4	24	1.7	0.1	0.9	12	1.1	16.1	0.09	0	2	0.16	151	81.9	0.14
芒果	32	0	0.04	0.2	0.2	23	1.3	0.09	0	0.3	11	2.8	0.01	0.6	14	0.3	7	0.2	1.21	150	0.06	138	90.6	1.44
木瓜	27	17	0.02	0.1	0.2	43	0.8	0.25	0	0.3	12	28	0.01	0.4	9	0.3	6.2	0.05	0.3	145	0.03	18	92.2	1.8
人参果	80	13	0.25	0.7	0.2	12	3.5	0.09	0	0.4	7	7.7	0	0.6	11	0.3	17.7	0.13	0	8	0.04	100	77.1	1.86
杨梅	28	14	0.05	0.2	1	9	1	0.14	0	0.3	8	0.7	0.01	0.8	10	0.3	5.7	0.72	0.81	7	0.02	149	92	0.31
杨桃	29	4	0.03	0.2	0.4	7	1.2	0.39	0	0.4	18	1.4	0.02	0.6	10	0.7	6.2	0.36	0	3	0.04	128	91.4	0.83
椰子	231	2	0.01	12.1	1.8	6	4.7	0.92	0	0.8	90	55.6	0.01	4	65	0.5	26.6	0.06	0	0	0.19	475	51.8	0
枇杷	39	17	0.03	0.2	1.1	8	0.8	0.21	0	0.4	8	4	0.01	0.8	10	0.3	8.5	0.34	0.24	0	0.06	122	89.3	0.72
橄榄	49	49	0.01	0.2	0.2	3	4	0.25	0	0.8	18	0	0.01	0.8	10	0.7	11.1	0.48	0	22	0	23	83.1	0.35
西瓜	25	8	0.03	0.1	0.3	6	0.3	0.1	0	0.2	9	3.2	0.02	0.6	8	0.2	5.5	0.05	0.1	75	0.05	87	93.3	0.17
肉类
鸡肉	167	9	0.09	9.4	1.4	0	0	1.09	106	1	156	63.3	0.05	19.3	19	5.6	1.3	0.03	0.67	48	0.07	251	69	11.75
鸭肉	240	6	0.22	19.7	2.2	0	0	1.33	94	0.7	122	69	0.08	15.5	14	4.2	0.2	0.06	0.27	52	0.21	191	63.9	12.25
鹅肉	251	4	0.23	19.9	3.8	0	0	1.36	74	0.8	144	58.8	0.07	17.9	18	4.9	0	0.04	0.22	42	0.43	232	61.4	17.68
鸽肉	201	30	0.2	14.2	3.8	0	0	0.82	99	1	136	63.6	0.06	16.5	27	6.9	1.7	0.05	0.99	53	0.24	334	66.6	11.08
鹌鹑肉	110	48	0.32	3.1	2.3	0	0	1.19	157	1.4	179	48.4	0.04	20.2	20	6.3	0.2	0.08	0.44	40	0.1	204	75.1	11.67
猪肉	395	6	0.16	37	1.6	0	0	2.06	80	0.6	162	59.4	0.22	13.2	16	3.5	2.4	0.03	0.35	18	0.06	2.4	46.8	11.97
腊肉	498	22	0	48.8	7.5	0	0	3.49	123	5.4	249	763.9	0	11.8	35	0	2.9	0.05	6.23	96	0.08	416	31.1	23.52
猪大肠	196	10	0.11	18.7	1	0	0	0.98	137	0.8	56	116.3	0.06	6.9	8	1.9	0	0.07	0.5	7	0.06	44	73.6	16.95
猪大排	264	8	0.15	20.4	0.8	0	0	1.72	165	0.8	125	44.5	0.8	18.3	17	5.3	1.7	0.05	0.11	12	0.12	274	58.8	10.3
猪耳	176	6	0.12	11.1	1.3	0	0	0.35	92	0.4	28	68.2	0.05	19.1	3	3.5	0	0.01	0.85	0	0	58	69.4	4.02
猪蹄	260	33	0.1	18.8	1.1	0	0	1.14	192	0.4	33	101	0.05	22.6	5	1.5	0	0.01	0.01	3	0.09	54	58.2	5.85
猪蹄筋	156	15	0.09	1.4	2.2	0	0	2.3	79	0.4	40	178	0.01	35.3	4	2.9	0.5	0.02	0.1	0	0.04	46	62.4	10.27
猪头皮	499	13	0.05	44.6	1.7	0	0	1.18	304	0.3	37	72.4	0.1	11.8	56	0	12.7	1.25	0.15	0	0.08	62	30.6	0
猪小排	278	14	0.16	23.1	1.4	0	0	3.36	146	1.4	135	62.6	0.3	16.7	14	4.5	0.7	0.02	0.11	5	0.17	230	58.1	11.05
猪肘棒	248	19	0.09	16	1.5	0	0	1.54	65	2.6	122	80	0.1	16.5	5	6.6	9.4	0	0	0	0.13	148	55.5	7.3
猪胆肝	336	12	2.5	6.4	181.3	0	0	11.25	1017	7.8	325	3625	0.41	44.2	95	11	25.3	0.83	0	3582	1.18	855	16.3	42.69
猪肚	110	11	0.16	5.1	2.4	0	0	1.92	165	0.8	124	75.1	0.07	15.2	12	3.7	0.7	0.12	0.32	3	0.1	171	78.2	12.76
猪肺	84	6	0.18	3.9	5.3	0	0	1.21	290	0.7	165	81.4	0.04	12.2	10	1.8	0.1	0.04	0.45	10	0.08	210	83.1	10.77
猪肝	129	6	2.08	3.5	22.6	20	0	5.78	288	1.5	310	68.6	0.21	19.3	24	15	5	0.26	0.86	4972	0.65	235	70.7	19.21
猪脑	131	30	0.19	9.8	1.9	0	0	0.99	2571	1.6	294	130.7	0.11	10.8	10	2.8	0	0.03	0.96	0	0.32	259	78	12.65
猪脾	94	1	0.26	3.2	11.3	0	0	1.44	461	1.1	111	26.1	0.09	13.2	14	0.6	3.1	0.02	0.33	0	0.06	234	79.4	16.5
猪舌	233	13	0.3	18.1	2.8	0	0	2.12	158	0.8	163	79.4	0.13	15.7	14	4.6	1.7	0.04	0.73	15	0.18	216	63.7	11.74	
猪肾	96	12	1.14	3.2	6.1	13	0	2.56	354	1.2	215	134.2	0.31	15.4	22	8	1.4	0.16	0.34	41	0.58	217	78.8	111.77
猪小肠	65	7	0.11	2	2	0	0	2.77	183	0.9	95	204.8	0.12	10	16	3.1	1.7	0.13	0.13	6	0.12	142	85.4	7.22
猪心	119	12	0.48	5.3	4.3	4	0	1.9	151	1	189	71.2	0.19	16.6	17	6.8	1.1	0.05	0.74	13	0.37	260	76	14.94
午餐肉	229	57	0.05	15.9	0.8	0	0	1.39	56	2.8	81	981.9	0.24	9.4	18	11.1	12	0.06	0	0	0.08	146	59.9	4.3
咸肉	390	10	0.21	36	2.6	0	0	2.04	72	8.4	112	195.6	0.77	16.5	30	3.5	0	0.08	0.1	20	0.1	387	40.4	13
猪肉松	396	41	0.13	11.5	6.4	0	0	4.28	111	6	162	469	0.04	23.4	55	3.3	49.7	0.6	10.02	44	0.13	313	9.4	8.77
香肠	508	14	0.11	40.7	5.8	0	0	7.61	82	4.8	198	2309.2	0.48	24.1	52	4.4	11.2	0.36	1.05	0	0.31	453	19.2	8.77
牛肉	125	23	0.14	4.2	3.3	0	0	4.73	84	1.1	168	84.2	0.04	19.9	20	5.6	2	0.04	0.65	7	0.18	216	72.8	6.45
牛蹄筋	151	5	0.13	0.5	3.2	0	0	0.81	0	0.8	150	153.6	0.07	34.1	10	0.7	2.6	0	0	0	0	23	62	1.7
牛大肠	66	12	0.08	2.3	2	0	0	1.05	124	0.4	102	28	0.03	11	0	1.2	0.4	0	0	0	0.03	55	85.9	10.94
牛肚	72	40	0.13	1.6	1.8	0	0	2.31	104	0.6	104	60.6	0.03	14.5	17	2.5	0	0.21	0.51	2	0.07	162	83.4	9.07
牛肺	95	8	0.21	2.5	11.7	13	0	2.67	306	0.9	269	154.8	0.04	16.5	14	3.4	1.5	0.16	0.34	12	0.22	197	78.6	13.61
牛肝	139	4	1.3	3.9	6.6	9	0	5.01	297	1.4	252	45	0.16	19.8	22	11.9	6.2	0.37	0.13	20220	1.34	185	68.7	11.99
牛脑	149	6	0.25	11	4.7	0	0	4.69	2447	1.3	435	185.6	0.15	12.5	20	4	0.1	0.08	0	0	0.28	300	75.1	20.34
牛舌	196	6	0.16	13.3	3.1	0	0	3.39	92	1	151	58.4	0.1	17	18	3.6	2	0.03	0.55	8	0.09	236	66.7	13.84
牛肾	94	8	0.85	2.4	9.4	0	0	2.17	295	1.1	214	180.8	0.24	15.6	13	7.7	2.6	0.06	0.19	88	0.16	190	78.3	70.25
牛心	106	4	0.39	3.5	5.9	5	0	2.41	115	0.8	178	47.9	0.26	15.4	25	6.8	3.1	0.06	0.19	17	0.37	282	77.2	14.8
兔肉	102	12	0.1	2.2	2	0	0	1.3	59	1	165	45.1	0.11	19.7	15	5.8	0.9	0.04	0.42	26	0.12	284	76.2	10.93
马肉	122	5	0.25	4.6	5.1	0	0	12.26	84	1.1	367	115.8	0.06	20.1	41	2.2	0.1	0.03	1.42	28	0.15	526	74.1	3.73
狗肉	118	52	0.2	4.6	2.9	0	0	3.18	62	0.8	107	47.4	0.34	16.8	14	3.5	1.8	0.13	1.4	12	0.14	140	76	14.75
驴肉	116	2	0.16	3.2	4.3	0	0	4.26	74	1.1	178	46.9	0.03	21.5	7	2.5	0.4	0	2.76	72	0.23	325	73.8	6.1
羊肉	203	6	0.14	14.1	2.3	0	0	3.22	92	1.2	146	80.6	0.05	19	20	4.5	0	0.02	0.26	22	0.75	232	65.7	32.2
